model,target,step,train_loss,validation_loss,validation_score,training_objective_loss,activity_train_loss,activity_validation_loss,domain_train_loss,domain_train_accuracy,domain_validation_loss,domain_validation_accuracy
realmlp,kpx_group_3,27,0.5953533296522341,0.5745271444320679,0.5685057640075684,,,,,,,
realmlp,all,28,0.5362694694807655,0.5125716328620911,0.6085938811302185,1.2688108055215133,0.3044337340091404,0.39146459102630615,0.6868762820959091,0.48310289884868424,0.6757603287696838,0.761904776096344
realmlp,kpx_group_1,28,0.5280105338284844,0.5203378796577454,0.6085456013679504,,,,,,,
realmlp,kpx_group_2,28,0.4953313909078899,0.45205703377723694,0.6445997953414917,,,,,,,
realmlp,kpx_group_3,28,0.5854664727261192,0.5653200745582581,0.5726362466812134,,,,,,,
realmlp,all,29,0.5280751687915701,0.4785099923610687,0.6327093243598938,1.259847623737235,0.30047823371071564,0.39632895588874817,0.6867007385743292,0.4881142064144737,0.6723629832267761,0.7403846383094788
realmlp,kpx_group_1,29,0.5215840237705331,0.468147337436676,0.6467397809028625,,,,,,,
realmlp,kpx_group_2,29,0.4863223076650971,0.44568243622779846,0.652503252029419,,,,,,,
realmlp,kpx_group_3,29,0.5763191612143266,0.5217001438140869,0.5988851189613342,,,,,,,
realmlp,all,30,0.5207071743513408,0.4905935227870941,0.6266024708747864,1.2521873273347552,0.2985103259745397,0.38954687118530273,0.686703611361353,0.4887438322368421,0.6817082762718201,0.7133699655532837
realmlp,kpx_group_1,30,0.5155410617589951,0.47831565141677856,0.6413460373878479,,,,,,,
realmlp,kpx_group_2,30,0.47902108023041173,0.43948763608932495,0.6581747531890869,,,,,,,
realmlp,kpx_group_3,30,0.5675593802803441,0.5539772510528564,0.5802866220474243,,,,,,,
realmlp,all,31,0.5129415683056179,0.4754360616207123,0.636990487575531,1.2428464450334247,0.29399898256126206,0.4042499363422394,0.6858050289906954,0.48919998972039475,0.6833562254905701,0.696886420249939
realmlp,kpx_group_1,31,0.5046778478120503,0.42534106969833374,0.6793038845062256,,,,,,,
realmlp,kpx_group_2,31,0.47226160803907796,0.4443768262863159,0.6516705751419067,,,,,,,
realmlp,kpx_group_3,31,0.5618852400466016,0.5565902590751648,0.5799968838691711,,,,,,,
realmlp,all,32,0.5084053638734316,0.4864685535430908,0.6269451975822449,1.2381505417196375,0.2924190587119052,0.39983975887298584,0.6858823079811899,0.5026791221217105,0.672231912612915,0.718406617641449
realmlp,kpx_group_1,32,0.49971008379208415,0.4610556662082672,0.6524149179458618,,,,,,,
realmlp,kpx_group_2,32,0.4684669226408005,0.44748616218566895,0.6451939344406128,,,,,,,
realmlp,kpx_group_3,32,0.5570390891087683,0.5508638024330139,0.5832266807556152,,,,,,,
realmlp,all,33,0.5023224436138806,0.469086617231369,0.639407753944397,1.2292463293201046,0.2888756817892978,0.4048769474029541,0.6835925414374,0.511121247944079,0.6664115190505981,0.7106227278709412
realmlp,kpx_group_1,33,0.4953217502487333,0.45279809832572937,0.6583462953567505,,,,,,,
realmlp,kpx_group_2,33,0.4609912618210441,0.45316383242607117,0.6416451930999756,,,,,,,
realmlp,kpx_group_3,33,0.5506543234774941,0.5012978315353394,0.6182317733764648,,,,,,,
realmlp,all,34,0.4949199941597487,0.4743879735469818,0.6370241641998291,1.2208328717633297,0.28490904993132543,0.39311495423316956,0.6831765417989931,0.5272987767269737,0.6709275841712952,0.708791196346283
realmlp,kpx_group_1,34,0.48754785445175675,0.4519979655742645,0.6591700315475464,,,,,,,
realmlp,kpx_group_2,34,0.45549329448687403,0.4487038552761078,0.6492534875869751,,,,,,,
realmlp,kpx_group_3,34,0.5417188178551825,0.5224620699882507,0.6026489734649658,,,,,,,
realmlp,all,35,0.48913980314606115,0.46753230690956116,0.6428410410881042,1.215190495315351,0.2840751566384968,0.41079413890838623,0.6834394006352675,0.5226151315789473,0.672317624092102,0.6927655935287476
realmlp,kpx_group_1,35,0.48190708615277944,0.45576077699661255,0.6574302911758423,,,,,,,
realmlp,kpx_group_2,35,0.4513806673256974,0.44377920031547546,0.6521053314208984,,,,,,,
realmlp,kpx_group_3,35,0.5341316434113603,0.5030570030212402,0.6189873814582825,,,,,,,
realmlp,all,36,0.485491506755352,0.4626505374908447,0.6466477513313293,1.2101329110170667,0.2812423564885792,0.4019049108028412,0.6824550479650497,0.5279862253289473,0.669828474521637,0.6913919448852539
realmlp,kpx_group_1,36,0.4782376912863631,0.44442862272262573,0.6669355630874634,,,,,,,
realmlp,kpx_group_2,36,0.44862915928426544,0.43697434663772583,0.6575411558151245,,,,,,,
realmlp,kpx_group_3,36,0.5296076720482424,0.5065487027168274,0.6154664754867554,,,,,,,
realmlp,all,37,0.4787957887900503,0.4608161747455597,0.6483264565467834,1.2034530561221273,0.2797205997140784,0.402718186378479,0.6826991736888885,0.5297466077302632,0.6711987853050232,0.6909340620040894
realmlp,kpx_group_1,37,0.4729827540485482,0.4417784810066223,0.6690810918807983,,,,,,,
realmlp,kpx_group_2,37,0.44106237355031463,0.44097593426704407,0.6554585099220276,,,,,,,
realmlp,kpx_group_3,37,0.5223422270072134,0.49969425797462463,0.620439887046814,,,,,,,
realmlp,all,38,0.4763866553181096,0.46325477957725525,0.6465526223182678,1.2007307316127576,0.2782351084445652,0.40367886424064636,0.6826088091260508,0.5293803967927632,0.6718875169754028,0.6909340620040894
realmlp,kpx_group_1,38,0.4712978875950763,0.44295254349708557,0.6691464185714722,,,,,,,
realmlp,kpx_group_2,38,0.43989604554678263,0.4383287727832794,0.6561381816864014,,,,,,,
realmlp,kpx_group_3,38,0.5179660269304326,0.5084830522537231,0.6143734455108643,,,,,,,
realmlp,all,39,0.4762166228733565,0.4621988832950592,0.6477819681167603,1.2000602295524196,0.27757737079733297,0.40553638339042664,0.6822070055886319,0.5303055612664473,0.6709545254707336,0.6900182962417603
realmlp,kpx_group_1,39,0.4692804836913159,0.4437977969646454,0.6684690713882446,,,,,,,
realmlp,kpx_group_2,39,0.4387064011473405,0.44178250432014465,0.6538987159729004,,,,,,,
realmlp,kpx_group_3,39,0.5206629704487952,0.5010164976119995,0.6209782361984253,,,,,,,
realmlp,all,40,0.4739433942656768,0.46258673071861267,0.6471717953681946,1.1978997227392698,0.2781216419841114,0.4051772654056549,0.6822380839209807,0.530029296875,0.6708343625068665,0.6900182962417603
realmlp,kpx_group_1,40,0.4686565838362041,0.44343873858451843,0.6693909764289856,,,,,,,
realmlp,kpx_group_2,40,0.4368801109100643,0.4424647092819214,0.6523008942604065,,,,,,,
realmlp,kpx_group_3,40,0.5162934798159098,0.5018566846847534,0.6198235750198364,,,,,,,
realmlp,all,41,0.47318380404459803,0.4615110456943512,0.6482940316200256,1.1973501569346379,0.2780062771941486,0.40457984805107117,0.6824653979979063,0.5299265008223685,0.6709206104278564,0.6900182962417603
realmlp,kpx_group_1,41,0.46779784638630717,0.44319242238998413,0.6690597534179688,,,,,,,
realmlp,kpx_group_2,41,0.43596453807855906,0.442074716091156,0.6532436609268188,,,,,,,
realmlp,kpx_group_3,41,0.5157890402172741,0.499266117811203,0.6225784420967102,,,,,,,
realmlp,all,42,0.4735057753951926,0.45937275886535645,0.6492974162101746,1.197563903896432,0.27749301238279594,0.4031001031398773,0.6824341769281187,0.5303119860197368,0.6719720363616943,0.6854395866394043
realmlp,kpx_group_1,42,0.4667084479802533,0.44208869338035583,0.6705785989761353,,,,,,,
realmlp,kpx_group_2,42,0.43607524037361145,0.4430689215660095,0.6521136164665222,,,,,,,
realmlp,kpx_group_3,42,0.5177336386159846,0.492960661649704,0.6251999139785767,,,,,,,
realmlp,all,43,0.4736538380384445,0.4594220221042633,0.6479482054710388,1.1977452447539882,0.27733976393938065,0.4015847444534302,0.6824904460656015,0.5310765316611842,0.671561062335968,0.6836080551147461
realmlp,kpx_group_1,43,0.4674522535581338,0.44696760177612305,0.6656293869018555,,,,,,,
realmlp,kpx_group_2,43,0.4376173517421672,0.44482994079589844,0.6502127647399902,,,,,,,
realmlp,kpx_group_3,43,0.5158918997959087,0.4864685535430908,0.628002405166626,,,,,,,
realmlp,all,44,0.4748978446188726,0.46961721777915955,0.6418370604515076,1.198912794652738,0.2777751013636589,0.4044531285762787,0.682348694456251,0.5324385793585527,0.6721276044845581,0.6808608174324036
realmlp,kpx_group_1,44,0.46932809995977504,0.4571380317211151,0.6550410389900208,,,,,,,
realmlp,kpx_group_2,44,0.43705084214085027,0.43694359064102173,0.6595569849014282,,,,,,,
realmlp,kpx_group_3,44,0.5183145941088074,0.5147700309753418,0.6109131574630737,,,,,,,
realmlp,all,45,0.47821075430041865,0.46663036942481995,0.6432536840438843,1.2020220176169747,0.2789615890697429,0.39672455191612244,0.68196702003479,0.5375269839638158,0.6709856986999512,0.6744505763053894
realmlp,kpx_group_1,45,0.4711831263021419,0.4567945599555969,0.6561126708984375,,,,,,,
realmlp,kpx_group_2,45,0.4421399972940746,0.4376636743545532,0.6591781973838806,,,,,,,
realmlp,kpx_group_3,45,0.5213091306780514,0.5054329037666321,0.6144701242446899,,,,,,,
realmlp,all,46,0.4791779247553725,0.4675726890563965,0.6420162320137024,1.2030203765944432,0.27983165257855463,0.40871527791023254,0.6818677053639763,0.5374113384046053,0.6702687740325928,0.6749083995819092
realmlp,kpx_group_1,46,0.473376444295833,0.46028074622154236,0.6523743867874146,,,,,,,
realmlp,kpx_group_2,46,0.44336578406785665,0.43944236636161804,0.6542660593986511,,,,,,,
realmlp,kpx_group_3,46,0.5207915451181563,0.5029950141906738,0.6194084286689758,,,,,,,
realmlp,all,47,0.4817357247597293,0.45898985862731934,0.6502273082733154,1.2047903176985288,0.28042426803394366,0.3968328535556793,0.6809909469202945,0.5456735711348685,0.6711523532867432,0.6570512652397156
realmlp,kpx_group_1,47,0.4740107439850506,0.4385165274143219,0.6720418334007263,,,,,,,
realmlp,kpx_group_2,47,0.4460389935656598,0.44019001722335815,0.6549571752548218,,,,,,,
realmlp,kpx_group_3,47,0.5251574320228476,0.49826300144195557,0.623682975769043,,,,,,,
realmlp,all,48,0.4826866243230669,0.4704332649707794,0.6401253342628479,1.2068399034048383,0.28039988404826116,0.41985228657722473,0.6820933105129945,0.5444143194901315,0.6703773736953735,0.6616300344467163
realmlp,kpx_group_1,48,0.4769204031479986,0.452151358127594,0.6593987345695496,,,,,,,
realmlp,kpx_group_2,48,0.44489762304644836,0.4468066394329071,0.6499693393707275,,,,,,,
realmlp,kpx_group_3,48,0.5262418428533956,0.5123418569564819,0.6110077500343323,,,,,,,
realmlp,all,49,0.48670751248535354,0.4583946764469147,0.6472991108894348,1.2095593606170856,0.28116852829330846,0.3994063436985016,0.6806765575157968,0.5482113486842105,0.6637623906135559,0.6648351550102234
realmlp,kpx_group_1,49,0.4800489329193768,0.4262027144432068,0.6798288822174072,,,,,,,
realmlp,kpx_group_2,49,0.4497082531452179,0.4464796781539917,0.6495024561882019,,,,,,,
realmlp,kpx_group_3,49,0.5303653443330213,0.5025017857551575,0.6125661134719849,,,,,,,
realmlp,all,50,0.4881113163734737,0.4550846815109253,0.6503449082374573,1.211640975977245,0.2829479869259031,0.39416471123695374,0.681087442134556,0.5456607216282895,0.6709569692611694,0.6428571343421936
realmlp,kpx_group_1,50,0.47976428584048625,0.4333111047744751,0.6732929944992065,,,,,,,
realmlp,kpx_group_2,50,0.4529110381477757,0.4481061100959778,0.6479849815368652,,,,,,,
realmlp,kpx_group_3,50,0.5316586247400233,0.4838370084762573,0.6297568678855896,,,,,,,
realmlp,all,51,0.49211822175665904,0.48897525668144226,0.6258326172828674,1.2190169676354057,0.28321665094087,0.4062633812427521,0.684416253315775,0.5334408408717105,0.6751353740692139,0.6703296899795532
realmlp,kpx_group_1,51,0.4822333509984769,0.46805137395858765,0.6478974223136902,,,,,,,
realmlp,kpx_group_2,51,0.45335010988147634,0.45357024669647217,0.6435296535491943,,,,,,,
realmlp,kpx_group_3,51,0.5407712138012836,0.5453041791915894,0.5860707759857178,,,,,,,
realmlp,all,52,0.49167907708569575,0.46826115250587463,0.6436875462532043,1.2172662349123704,0.28354770141212565,0.41164276003837585,0.6830549922428633,0.5430201480263158,0.6652998328208923,0.6442307829856873
realmlp,kpx_group_1,52,0.4846810651452918,0.44874894618988037,0.6645644307136536,,,,,,,
realmlp,kpx_group_2,52,0.45833744147890493,0.43877506256103516,0.6576531529426575,,,,,,,
realmlp,kpx_group_3,52,0.5320187187508533,0.517259418964386,0.6088451147079468,,,,,,,
realmlp,all,53,0.49273198607720825,0.47579631209373474,0.6362480521202087,1.2177501901199943,0.28464012083254364,0.3880302608013153,0.6823221860747588,0.5371029502467105,0.6842750906944275,0.5979853272438049
realmlp,kpx_group_1,53,0.48657535447886113,0.47554877400398254,0.641332745552063,,,,,,,
realmlp,kpx_group_2,53,0.4562763238423749,0.448522686958313,0.6496203541755676,,,,,,,
realmlp,kpx_group_3,53,0.5353442697148574,0.5033173561096191,0.6177908778190613,,,,,,,
